seed,iter,0::0b::0,0::0b::1,0::0p::0,0::0p::1,0::1b::0,0::1b::1,0::1p::0,0::1p::1,0::2b::0,0::2b::1,0::2p::0,0::2p::1,1::0b::0,1::0b::1,1::0p::0,1::0p::1,1::1b::0,1::1b::1,1::1p::0,1::1p::1,1::2b::0,1::2b::1,1::2p::0,1::2p::1,2::0b::0,2::0b::1,2::0p::0,2::0p::1,2::1b::0,2::1b::1,2::1p::0,2::1p::1,2::2b::0,2::2b::1,2::2p::0,2::2p::1,3::0b::0,3::0b::1,3::0p::0,3::0p::1,3::1b::0,3::1b::1,3::1p::0,3::1p::1,3::2b::0,3::2b::1,3::2p::0,3::2p::1
1,692,4.35728e-06,0.999996,0.5,0.5,0.0020016,0.997998,0.325,0.675,0,1,0.5,0.5,0.0364144,0.963586,0.0788545,0.921146,0.00195117,0.998049,0.492593,0.507407,0.212788,0.787212,0.766881,0.233119,0.141996,0.858004,0.0707944,0.929206,0.00239476,0.997605,0.5,0.5,0.720731,0.279269,0.664817,0.335183,0.733305,0.266695,0.944279,0.0557212,0.477871,0.522129,0.322934,0.677066,0.18525,0.81475,0,1
1,725,4.14386e-06,0.999996,0.5,0.5,0.00188007,0.99812,0.325,0.675,0,1,0.5,0.5,0.0349448,0.965055,0.0788545,0.921146,0.00182378,0.998176,0.492593,0.507407,0.207769,0.792231,0.766881,0.233119,0.135222,0.864778,0.0707944,0.929206,0.00226057,0.997739,0.5,0.5,0.716118,0.283882,0.653428,0.346572,0.740832,0.259168,0.945145,0.0548545,0.482491,0.517509,0.30084,0.69916,0.182743,0.817257,0,1
1,759,3.93506e-06,0.999996,0.5,0.5,0.001809,0.998191,0.325,0.675,0,1,0.5,0.5,0.0331603,0.96684,0.0788545,0.921146,0.00175155,0.998248,0.492593,0.507407,0.19841,0.80159,0.766881,0.233119,0.129884,0.870116,0.0711087,0.928891,0.00218522,0.997815,0.5,0.5,0.708603,0.291397,0.641986,0.358014,0.75184,0.24816,0.948856,0.0511437,0.494976,0.505024,0.255045,0.744955,0.180472,0.819528,0,1
1,795,3.73252e-06,0.999996,0.5,0.5,0.0017489,0.998251,0.325,0.675,0,1,0.5,0.5,0.0315493,0.968451,0.0788545,0.921146,0.00168482,0.998315,0.492593,0.507407,0.188235,0.811765,0.766881,0.233119,0.12547,0.87453,0.0711087,0.928891,0.00208945,0.997911,0.5,0.5,0.701569,0.298431,0.629836,0.370164,0.762828,0.237172,0.950165,0.0498349,0.502329,0.497671,0.242602,0.757398,0.201749,0.798251,0,1
1,832,3.58744e-06,0.999996,0.5,0.5,0.0016765,0.998324,0.325,0.675,0,1,0.5,0.5,0.0305903,0.96941,0.0796965,0.920303,0.00160824,0.998392,0.492593,0.507407,0.178328,0.821672,0.766881,0.233119,0.123166,0.876834,0.0724524,0.927548,0.00197906,0.998021,0.5,0.5,0.695038,0.304962,0.607697,0.392303,0.77605,0.22395,0.953806,0.0461944,0.510651,0.489349,0.231005,0.768995,0.212401,0.787599,0,1
1,871,3.39547e-06,0.999997,0.5,0.5,0.00161975,0.99838,0.325,0.675,0,1,0.5,0.5,0.0306221,0.969378,0.0856854,0.914315,0.00155636,0.998444,0.492593,0.507407,0.170066,0.829934,0.766881,0.233119,0.118367,0.881633,0.0752103,0.92479,0.00187304,0.998127,0.5,0.5,0.689822,0.310178,0.597204,0.402796,0.786467,0.213533,0.957029,0.0429709,0.520237,0.479763,0.216669,0.783331,0.219852,0.780148,0,1
1,913,3.2436e-06,0.999997,0.5,0.5,0.00156208,0.998438,0.325,0.675,0,1,0.5,0.5,0.0321873,0.967813,0.0957697,0.90423,0.00148246,0.998518,0.492593,0.507407,0.161938,0.838062,0.766881,0.233119,0.115797,0.884203,0.0767017,0.923298,0.00178994,0.99821,0.5,0.5,0.682318,0.317682,0.589345,0.410655,0.798516,0.201484,0.960416,0.0395836,0.526951,0.473049,0.208358,0.791642,0.233775,0.766225,0,1
1,955,3.08585e-06,0.999997,0.5,0.5,0.00150406,0.998496,0.325,0.675,0,1,0.5,0.5,0.0357823,0.964218,0.103096,0.896904,0.00145005,0.99855,0.492593,0.507407,0.152412,0.847588,0.766881,0.233119,0.116067,0.883933,0.0882979,0.911702,0.00169178,0.998308,0.5,0.5,0.6762,0.3238,0.570186,0.429814,0.806405,0.193595,0.964447,0.0355525,0.531853,0.468147,0.193462,0.806538,0.25439,0.74561,0,1
1,1000,2.93424e-06,0.999997,0.5,0.5,0.00143831,0.998562,0.325,0.675,0,1,0.5,0.5,0.0386357,0.961364,0.113194,0.886806,0.00137492,0.998625,0.492593,0.507407,0.14537,0.85463,0.766881,0.233119,0.117482,0.882518,0.0932518,0.906748,0.00158925,0.998411,0.5,0.5,0.669757,0.330243,0.545192,0.454808,0.816884,0.183116,0.967499,0.032501,0.537601,0.462399,0.185205,0.814795,0.270905,0.729095,0,1
1,1048,2.80455e-06,0.999997,0.5,0.5,0.00136378,0.998636,0.325,0.675,0,1,0.5,0.5,0.0440754,0.955925,0.122292,0.877708,0.0013268,0.998673,0.492593,0.507407,0.137647,0.862353,0.766881,0.233119,0.121557,0.878443,0.099134,0.900866,0.00152015,0.99848,0.5,0.5,0.66262,0.33738,0.526483,0.473517,0.825344,0.174656,0.969327,0.0306727,0.54688,0.45312,0.183877,0.816123,0.280764,0.719236,0,1
